G0129,Partial hosp prog service
26551,Great toe-hand transfer
26553,Single transfer toe-hand
26554,Double transfer toe-hand
26555,Positional change of finger
26556,Toe joint transfer
26560,Repair of web finger
26561,Repair of web finger
26562,Repair of web finger
26565,Correct metacarpal flaw
26567,Correct finger deformity
26568,Lengthen metacarpal/finger
26580,Repair hand deformity
26587,Reconstruct extra finger
26590,Repair finger deformity
26591,Repair muscles of hand
26593,Release muscles of hand
26596,Excision constricting tissue
26600,Treat metacarpal fracture
26605,Treat metacarpal fracture
26607,Treat metacarpal fracture
26608,Treat metacarpal fracture
26615,Treat metacarpal fracture
26641,Treat thumb dislocation
26645,Treat thumb fracture
26650,Treat thumb fracture
26665,Treat thumb fracture
26670,Treat hand dislocation
26675,Treat hand dislocation
26676,Pin hand dislocation
26685,Treat hand dislocation
26686,Treat hand dislocation
26700,Treat knuckle dislocation
26705,Treat knuckle dislocation
26706,Pin knuckle dislocation
26715,Treat knuckle dislocation
26720,Treat finger fracture each
26725,Treat finger fracture each
26727,Treat finger fracture each
26735,Treat finger fracture each
26740,Treat finger fracture each
26742,Treat finger fracture each
26746,Treat finger fracture each
26750,Treat finger fracture each
26755,Treat finger fracture each
26756,Pin finger fracture each
26765,Treat finger fracture each
26770,Treat finger dislocation
26775,Treat finger dislocation
26776,Pin finger dislocation
26785,Treat finger dislocation
26820,Thumb fusion with graft
26841,Fusion of thumb
26842,Thumb fusion with graft
26843,Fusion of hand joint
26844,Fusion/graft of hand joint
26850,Fusion of knuckle
26852,Fusion of knuckle with graft
26860,Fusion of finger joint
26862,Fusion/graft of finger joint
26910,Amputate metacarpal bone
26951,Amputation of finger/thumb
26952,Amputation of finger/thumb
26989,Hand/finger surgery
26990,Drainage of pelvis lesion
26991,Drainage of pelvis bursa
26992,Drainage of bone lesion
27000,Incision of hip tendon
27001,Incision of hip tendon
27003,Incision of hip tendon
27005,Incision of hip tendon
27006,Incision of hip tendons
27025,Incision of hip/thigh fascia
27027,Buttock fasciotomy
27030,Drainage of hip joint
27033,Exploration of hip joint
27035,Denervation of hip joint
27036,Excision of hip joint/muscle
27043,Exc hip pelvis les sc 3 cm/>
27045,Exc hip/pelv tum deep 5 cm/>
27047,Exc hip/pelvis les sc < 3 cm
27048,Exc hip/pelv tum deep < 5 cm
27049,Resect hip/pelv tum < 5 cm
27050,Biopsy of sacroiliac joint
27052,Biopsy of hip joint
27054,Removal of hip joint lining
27057,Buttock fasciotomy w/dbrdmt
27059,Resect hip/pelv tum 5 cm/>
27060,Removal of ischial bursa
27062,Remove femur lesion/bursa
27065,Remove hip bone les super
27066,Remove hip bone les deep
27067,Remove/graft hip bone lesion
27070,Part remove hip bone super
27071,Part removal hip bone deep
27075,Resect hip tumor
27076,Resect hip tum incl acetabul
27077,Resect hip tum w/innom bone
27078,Rsect hip tum incl femur
27080,Removal of tail bone
27086,Remove hip foreign body
27087,Remove hip foreign body
27090,Removal of hip prosthesis
27091,Removal of hip prosthesis
27096,Inject sacroiliac joint
27097,Revision of hip tendon
27098,Transfer tendon to pelvis
27100,Transfer of abdominal muscle
27105,Transfer of spinal muscle
27110,Transfer of iliopsoas muscle
27111,Transfer of iliopsoas muscle
27120,Reconstruction of hip socket
27122,Reconstruction of hip socket
27125,Partial hip replacement
27130,Total hip arthroplasty
27132,Total hip arthroplasty
27134,Revise hip joint replacement
27137,Revise hip joint replacement
27138,Revise hip joint replacement
27140,Transplant femur ridge
27146,Incision of hip bone
27147,Revision of hip bone
27151,Incision of hip bones
27156,Revision of hip bones
27158,Revision of pelvis
27161,Incision of neck of femur
27165,Incision/fixation of femur
27170,Repair/graft femur head/neck
27175,Treat slipped epiphysis
27176,Treat slipped epiphysis
27177,Treat slipped epiphysis
27178,Treat slipped epiphysis
27179,Revise head/neck of femur
27181,Treat slipped epiphysis
27185,Revision of femur epiphysis
27187,Reinforce hip bones
27197,Clsd tx pelvic ring fx
27198,Clsd tx pelvic ring fx
27200,Treat tail bone fracture
27202,Treat tail bone fracture
27215,Treat pelvic fracture(s)
27216,Treat pelvic ring fracture
27217,Treat pelvic ring fracture
27218,Treat pelvic ring fracture
27220,Treat hip socket fracture
27222,Treat hip socket fracture
27226,Treat hip wall fracture
27227,Treat hip fracture(s)
27228,Treat hip fracture(s)
27230,Treat thigh fracture
27232,Treat thigh fracture
27235,Treat thigh fracture
27236,Treat thigh fracture
27238,Treat thigh fracture
27240,Treat thigh fracture
27244,Treat thigh fracture
27245,Treat thigh fracture
27246,Treat thigh fracture
27248,Treat thigh fracture
27250,Treat hip dislocation
27252,Treat hip dislocation
27253,Treat hip dislocation
27254,Treat hip dislocation
27256,Treat hip dislocation
27257,Treat hip dislocation
27258,Treat hip dislocation
27259,Treat hip dislocation
27265,Treat hip dislocation
27266,Treat hip dislocation
27267,Cltx thigh fx
27268,Cltx thigh fx w/mnpj
27269,Optx thigh fx
27275,Manipulation of hip joint
27279,Arthrodesis sacroiliac joint
27280,Fusion of sacroiliac joint
27282,Fusion of pubic bones
27284,Fusion of hip joint
27286,Fusion of hip joint
27290,Amputation of leg at hip
27295,Amputation of leg at hip
27299,Pelvis/hip joint surgery
27301,Drain thigh/knee lesion
27303,Drainage of bone lesion
27305,Incise thigh tendon & fascia
27306,Incision of thigh tendon
27307,Incision of thigh tendons
27310,Exploration of knee joint
27325,Neurectomy hamstring
27326,Neurectomy popliteal
27327,Exc thigh/knee les sc < 3 cm
27328,Exc thigh/knee tum deep <5cm
27329,Resect thigh/knee tum < 5 cm
27330,Biopsy knee joint lining
27331,Explore/treat knee joint
27332,Removal of knee cartilage
27333,Removal of knee cartilage
27334,Remove knee joint lining
27335,Remove knee joint lining
27337,Exc thigh/knee les sc 3 cm/>
27339,Exc thigh/knee tum dep 5cm/>
27340,Removal of kneecap bursa
27345,Removal of knee cyst
27347,Remove knee cyst
27350,Removal of kneecap
27355,Remove femur lesion
27356,Remove femur lesion/graft
27357,Remove femur lesion/graft
27360,Partial removal leg bone(s)
27364,Resect thigh/knee tum 5 cm/>
27365,Resect femur/knee tumor
27372,Removal of foreign body
27380,Repair of kneecap tendon
27381,Repair/graft kneecap tendon
27385,Repair of thigh muscle
27386,Repair/graft of thigh muscle
27390,Incision of thigh tendon
27391,Incision of thigh tendons
27392,Incision of thigh tendons
27393,Lengthening of thigh tendon
27394,Lengthening of thigh tendons
27395,Lengthening of thigh tendons
27396,Transplant of thigh tendon
27397,Transplants of thigh tendons
27400,Revise thigh muscles/tendons
27403,Repair of knee cartilage
27405,Repair of knee ligament
27407,Repair of knee ligament
27409,Repair of knee ligaments
27412,Autochondrocyte implant knee
27415,Osteochondral knee allograft
27416,Osteochondral knee autograft
27418,Repair degenerated kneecap
27420,Revision of unstable kneecap
27422,Revision of unstable kneecap
27424,Revision/removal of kneecap
27425,Lat retinacular release open
27427,Reconstruction knee
27428,Reconstruction knee
27429,Reconstruction knee
27430,Revision of thigh muscles
27435,Incision of knee joint
27437,Revise kneecap
27438,Revise kneecap with implant
27440,Revision of knee joint
27441,Revision of knee joint
27442,Revision of knee joint
27443,Revision of knee joint
27445,Revision of knee joint
27446,Revision of knee joint
27447,Total knee arthroplasty
27448,Incision of thigh
27450,Incision of thigh
27454,Realignment of thigh bone
27455,Realignment of knee
27457,Realignment of knee
27465,Shortening of thigh bone
27466,Lengthening of thigh bone
27468,Shorten/lengthen thighs
27470,Repair of thigh
27472,Repair/graft of thigh
27475,Surgery to stop leg growth
27477,Surgery to stop leg growth
27479,Surgery to stop leg growth
27485,Surgery to stop leg growth
27486,Revise/replace knee joint
27487,Revise/replace knee joint
27488,Removal of knee prosthesis
27495,Reinforce thigh
27496,Decompression of thigh/knee
27497,Decompression of thigh/knee
27498,Decompression of thigh/knee
27499,Decompression of thigh/knee
27500,Treatment of thigh fracture
27501,Treatment of thigh fracture
27502,Treatment of thigh fracture
27503,Treatment of thigh fracture
27506,Treatment of thigh fracture
27507,Treatment of thigh fracture
27508,Treatment of thigh fracture
27509,Treatment of thigh fracture
27510,Treatment of thigh fracture
27511,Treatment of thigh fracture
27513,Treatment of thigh fracture
27514,Treatment of thigh fracture
27516,Treat thigh fx growth plate
27517,Treat thigh fx growth plate
27519,Treat thigh fx growth plate
27520,Treat kneecap fracture
27524,Treat kneecap fracture
27530,Treat knee fracture
27532,Treat knee fracture
27535,Treat knee fracture
27536,Treat knee fracture
27538,Treat knee fracture(s)
27540,Treat knee fracture
27550,Treat knee dislocation
27552,Treat knee dislocation
27556,Treat knee dislocation
27557,Treat knee dislocation
27558,Treat knee dislocation
27560,Treat kneecap dislocation
27562,Treat kneecap dislocation
27566,Treat kneecap dislocation
27570,Fixation of knee joint
27580,Fusion of knee
27590,Amputate leg at thigh
27591,Amputate leg at thigh
27592,Amputate leg at thigh
27594,Amputation follow-up surgery
27596,Amputation follow-up surgery
27598,Amputate lower leg at knee
27599,Leg surgery procedure
27600,Decompression of lower leg
27601,Decompression of lower leg
27602,Decompression of lower leg
27603,Drain lower leg lesion
27604,Drain lower leg bursa
27605,Incision of achilles tendon
27606,Incision of achilles tendon
27607,Treat lower leg bone lesion
27610,Explore/treat ankle joint
27612,Exploration of ankle joint
27615,Resect leg/ankle tum < 5 cm
27616,Resect leg/ankle tum 5 cm/>
27618,Exc leg/ankle tum < 3 cm
27619,Exc leg/ankle tum deep <5 cm
27620,Explore/treat ankle joint
27625,Remove ankle joint lining
27626,Remove ankle joint lining
27630,Removal of tendon lesion
27632,Exc leg/ankle les sc 3 cm/>
27634,Exc leg/ankle tum dep 5 cm/>
27635,Remove lower leg bone lesion
27637,Remove/graft leg bone lesion
27638,Remove/graft leg bone lesion
27640,Partial removal of tibia
27641,Partial removal of fibula
27645,Resect tibia tumor
27646,Resect fibula tumor
27647,Resect talus/calcaneus tum
27650,Repair achilles tendon
27652,Repair/graft achilles tendon
27654,Repair of achilles tendon
27656,Repair leg fascia defect
27658,Repair of leg tendon each
27659,Repair of leg tendon each
27664,Repair of leg tendon each
27665,Repair of leg tendon each
27675,Repair lower leg tendons
27676,Repair lower leg tendons
27680,Release of lower leg tendon
27681,Release of lower leg tendons
27685,Revision of lower leg tendon
27686,Revise lower leg tendons
27687,Revision of calf tendon
27690,Revise lower leg tendon
27691,Revise lower leg tendon
27695,Repair of ankle ligament
27696,Repair of ankle ligaments
27698,Repair of ankle ligament
27700,Revision of ankle joint
27702,Reconstruct ankle joint
27703,Reconstruction ankle joint
27704,Removal of ankle implant
27705,Incision of tibia
27707,Incision of fibula
27709,Incision of tibia & fibula
27712,Realignment of lower leg
27715,Revision of lower leg
27720,Repair of tibia
27722,Repair/graft of tibia
27724,Repair/graft of tibia
27725,Repair of lower leg
27726,Repair fibula nonunion
27727,Repair of lower leg
27730,Repair of tibia epiphysis
27732,Repair of fibula epiphysis
27734,Repair lower leg epiphyses
27740,Repair of leg epiphyses
27742,Repair of leg epiphyses
27745,Reinforce tibia
27750,Treatment of tibia fracture
27752,Treatment of tibia fracture
27756,Treatment of tibia fracture
27758,Treatment of tibia fracture
27759,Treatment of tibia fracture
27760,Cltx medial ankle fx
27762,Cltx med ankle fx w/mnpj
27766,Optx medial ankle fx
27767,Cltx post ankle fx
27768,Cltx post ankle fx w/mnpj
27769,Optx post ankle fx
27780,Treatment of fibula fracture
27781,Treatment of fibula fracture
27784,Treatment of fibula fracture
27786,Treatment of ankle fracture
27788,Treatment of ankle fracture
27792,Treatment of ankle fracture
27808,Treatment of ankle fracture
27810,Treatment of ankle fracture
27814,Treatment of ankle fracture
27816,Treatment of ankle fracture
27818,Treatment of ankle fracture
27822,Treatment of ankle fracture
27823,Treatment of ankle fracture
27824,Treat lower leg fracture
27825,Treat lower leg fracture
27826,Treat lower leg fracture
27827,Treat lower leg fracture
27828,Treat lower leg fracture
27829,Treat lower leg joint
27830,Treat lower leg dislocation
27831,Treat lower leg dislocation
27832,Treat lower leg dislocation
27840,Treat ankle dislocation
27842,Treat ankle dislocation
27846,Treat ankle dislocation
27848,Treat ankle dislocation
27860,Fixation of ankle joint
27870,Fusion of ankle joint open
27871,Fusion of tibiofibular joint
27880,Amputation of lower leg
27881,Amputation of lower leg
27882,Amputation of lower leg
27884,Amputation follow-up surgery
27886,Amputation follow-up surgery
27888,Amputation of foot at ankle
27889,Amputation of foot at ankle
27892,Decompression of leg
27893,Decompression of leg
27894,Decompression of leg
27899,Leg/ankle surgery procedure
28001,Drainage of bursa of foot
28002,Treatment of foot infection
28003,Treatment of foot infection
28005,Treat foot bone lesion
28008,Incision of foot fascia
28010,Incision of toe tendon
28011,Incision of toe tendons
28020,Exploration of foot joint
28022,Exploration of foot joint
28024,Exploration of toe joint
28035,Decompression of tibia nerve
28039,Exc foot/toe tum sc 1.5 cm/>
28041,Exc foot/toe tum dep 1.5cm/>
28043,Exc foot/toe tum sc < 1.5 cm
28045,Exc foot/toe tum deep <1.5cm
28046,Resect foot/toe tumor < 3 cm
28047,Resect foot/toe tumor 3 cm/>
28050,Biopsy of foot joint lining
28052,Biopsy of foot joint lining
28054,Biopsy of toe joint lining
28055,Neurectomy foot
28060,Partial removal foot fascia
28062,Removal of foot fascia
28070,Removal of foot joint lining
28072,Removal of foot joint lining
28080,Removal of foot lesion
28086,Excise foot tendon sheath
28088,Excise foot tendon sheath
28090,Removal of foot lesion
28092,Removal of toe lesions
28100,Removal of ankle/heel lesion
28102,Remove/graft foot lesion
28103,Remove/graft foot lesion
28104,Removal of foot lesion
28106,Remove/graft foot lesion
28107,Remove/graft foot lesion
28108,Removal of toe lesions
28110,Part removal of metatarsal
28111,Part removal of metatarsal
28112,Part removal of metatarsal
28113,Part removal of metatarsal
28114,Removal of metatarsal heads
28116,Revision of foot
28118,Removal of heel bone
28119,Removal of heel spur
28120,Part removal of ankle/heel
28122,Partial removal of foot bone
28124,Partial removal of toe
28126,Partial removal of toe
28130,Removal of ankle bone
28140,Removal of metatarsal
28150,Removal of toe
28153,Partial removal of toe
28160,Partial removal of toe
28171,Resect tarsal tumor
28173,Resect metatarsal tumor
28175,Resect phalanx of toe tumor
28190,Removal of foot foreign body
28192,Removal of foot foreign body
28193,Removal of foot foreign body
28200,Repair of foot tendon
28202,Repair/graft of foot tendon
28208,Repair of foot tendon
28210,Repair/graft of foot tendon
28220,Release of foot tendon
28222,Release of foot tendons
28225,Release of foot tendon
28226,Release of foot tendons
28230,Incision of foot tendon(s)
28232,Incision of toe tendon
28234,Incision of foot tendon
28238,Revision of foot tendon
28240,Release of big toe
28250,Revision of foot fascia
28260,Release of midfoot joint
28261,Revision of foot tendon
28262,Revision of foot and ankle
28264,Release of midfoot joint
28270,Release of foot contracture
28272,Release of toe joint each
28280,Fusion of toes
28285,Repair of hammertoe
28286,Repair of hammertoe
28288,Partial removal of foot bone
28289,Corrj halux rigdus w/o implt
28291,Corrj halux rigdus w/implt
28292,Correction hallux valgus
28295,Correction hallux valgus
28296,Correction hallux valgus
28297,Correction hallux valgus
28298,Correction hallux valgus
28299,Correction hallux valgus
28300,Incision of heel bone
28302,Incision of ankle bone
28304,Incision of midfoot bones
28305,Incise/graft midfoot bones
28306,Incision of metatarsal
28307,Incision of metatarsal
28308,Incision of metatarsal
28309,Incision of metatarsals
28310,Revision of big toe
28312,Revision of toe
28313,Repair deformity of toe
28315,Removal of sesamoid bone
28320,Repair of foot bones
28322,Repair of metatarsals
28340,Resect enlarged toe tissue
28341,Resect enlarged toe
28344,Repair extra toe(s)
28345,Repair webbed toe(s)
28360,Reconstruct cleft foot
28400,Treatment of heel fracture
28405,Treatment of heel fracture
28406,Treatment of heel fracture
28415,Treat heel fracture
28420,Treat/graft heel fracture
28430,Treatment of ankle fracture
28435,Treatment of ankle fracture
28436,Treatment of ankle fracture
28445,Treat ankle fracture
28446,Osteochondral talus autogrft
28450,Treat midfoot fracture each
28455,Treat midfoot fracture each
28456,Treat midfoot fracture
28465,Treat midfoot fracture each
28470,Treat metatarsal fracture
28475,Treat metatarsal fracture
28476,Treat metatarsal fracture
28485,Treat metatarsal fracture
28490,Treat big toe fracture
28495,Treat big toe fracture
28496,Treat big toe fracture
28505,Treat big toe fracture
28510,Treatment of toe fracture
28515,Treatment of toe fracture
28525,Treat toe fracture
28530,Treat sesamoid bone fracture
28531,Treat sesamoid bone fracture
28540,Treat foot dislocation
28545,Treat foot dislocation
28546,Treat foot dislocation
28555,Repair foot dislocation
28570,Treat foot dislocation
28575,Treat foot dislocation
28576,Treat foot dislocation
28585,Repair foot dislocation
28600,Treat foot dislocation
28605,Treat foot dislocation
28606,Treat foot dislocation
28615,Repair foot dislocation
28630,Treat toe dislocation
28635,Treat toe dislocation
28636,Treat toe dislocation
28645,Repair toe dislocation
28660,Treat toe dislocation
28665,Treat toe dislocation
28666,Treat toe dislocation
28675,Repair of toe dislocation
28705,Fusion of foot bones
28715,Fusion of foot bones
28725,Fusion of foot bones
28730,Fusion of foot bones
28735,Fusion of foot bones
28737,Revision of foot bones
28740,Fusion of foot bones
28750,Fusion of big toe joint
28755,Fusion of big toe joint
28760,Fusion of big toe joint
28800,Amputation of midfoot
28805,Amputation thru metatarsal
28810,Amputation toe & metatarsal
28820,Amputation of toe
28825,Partial amputation of toe
28890,Hi enrgy eswt plantar fascia
28899,Foot/toes surgery procedure
29000,Application of body cast
29010,Application of body cast
29015,Application of body cast
29035,Application of body cast
29040,Application of body cast
29044,Application of body cast
29046,Application of body cast
29049,Application of figure eight
29055,Application of shoulder cast
29058,Application of shoulder cast
29065,Application of long arm cast
29075,Application of forearm cast
29085,Apply hand/wrist cast
29086,Apply finger cast
29105,Apply long arm splint
29125,Apply forearm splint
29126,Apply forearm splint
29130,Application of finger splint
29131,Application of finger splint
29200,Strapping of chest
29240,Strapping of shoulder
29260,Strapping of elbow or wrist
29280,Strapping of hand or finger
29305,Application of hip cast
29325,Application of hip casts
29345,Application of long leg cast
29355,Application of long leg cast
29358,Apply long leg cast brace
29365,Application of long leg cast
29405,Apply short leg cast
29425,Apply short leg cast
29435,Apply short leg cast
29440,Addition of walker to cast
29445,Apply rigid leg cast
29450,Application of leg cast
29505,Application long leg splint
29515,Application lower leg splint
29520,Strapping of hip
29530,Strapping of knee
29540,Strapping of ankle and/or ft
29550,Strapping of toes
29580,Application of paste boot
29581,Apply multlay comprs lwr leg
29584,Appl multlay comprs arm/hand
29700,Removal/revision of cast
29705,Removal/revision of cast
29710,Removal/revision of cast
29720,Repair of body cast
29730,Windowing of cast
29740,Wedging of cast
29750,Wedging of clubfoot cast
29799,Casting/strapping procedure
29800,Jaw arthroscopy/surgery
29804,Jaw arthroscopy/surgery
29805,Shoulder arthroscopy dx
29806,Shoulder arthroscopy/surgery
29807,Shoulder arthroscopy/surgery
29819,Shoulder arthroscopy/surgery
29820,Shoulder arthroscopy/surgery
29821,Shoulder arthroscopy/surgery
29822,Shoulder arthroscopy/surgery
29823,Shoulder arthroscopy/surgery
29824,Shoulder arthroscopy/surgery
29825,Shoulder arthroscopy/surgery
29827,Arthroscop rotator cuff repr
29828,Arthroscopy biceps tenodesis
29830,Elbow arthroscopy
29834,Elbow arthroscopy/surgery
29835,Elbow arthroscopy/surgery
29836,Elbow arthroscopy/surgery
29837,Elbow arthroscopy/surgery
29838,Elbow arthroscopy/surgery
29840,Wrist arthroscopy
29843,Wrist arthroscopy/surgery
29844,Wrist arthroscopy/surgery
29845,Wrist arthroscopy/surgery
29846,Wrist arthroscopy/surgery
29847,Wrist arthroscopy/surgery
29848,Wrist endoscopy/surgery
29850,Knee arthroscopy/surgery
29851,Knee arthroscopy/surgery
29855,Tibial arthroscopy/surgery
29856,Tibial arthroscopy/surgery
29860,Hip arthroscopy dx
29861,Hip arthro w/fb removal
29862,Hip arthr0 w/debridement
29863,Hip arthr0 w/synovectomy
29866,Autgrft implnt knee w/scope
29867,Allgrft implnt knee w/scope
29868,Meniscal trnspl knee w/scpe
29870,Knee arthroscopy dx
29871,Knee arthroscopy/drainage
29873,Knee arthroscopy/surgery
29874,Knee arthroscopy/surgery
29875,Knee arthroscopy/surgery
29876,Knee arthroscopy/surgery
29877,Knee arthroscopy/surgery
29879,Knee arthroscopy/surgery
29880,Knee arthroscopy/surgery
29881,Knee arthroscopy/surgery
29882,Knee arthroscopy/surgery
29883,Knee arthroscopy/surgery
29884,Knee arthroscopy/surgery
29885,Knee arthroscopy/surgery
29886,Knee arthroscopy/surgery
29887,Knee arthroscopy/surgery
29888,Knee arthroscopy/surgery
29889,Knee arthroscopy/surgery
29891,Ankle arthroscopy/surgery
29892,Ankle arthroscopy/surgery
29893,Scope plantar fasciotomy
29894,Ankle arthroscopy/surgery
29895,Ankle arthroscopy/surgery
29897,Ankle arthroscopy/surgery
29898,Ankle arthroscopy/surgery
29899,Ankle arthroscopy/surgery
29900,Mcp joint arthroscopy dx
29901,Mcp joint arthroscopy surg
29902,Mcp joint arthroscopy surg
29904,Subtalar arthro w/fb rmvl
29905,Subtalar arthro w/exc
29906,Subtalar arthro w/deb
29907,Subtalar arthro w/fusion
29914,Hip arthro w/femoroplasty
29915,Hip arthro acetabuloplasty
29916,Hip arthro w/labral repair
29999,Arthroscopy of joint
30000,Drainage of nose lesion
30020,Drainage of nose lesion
30110,Removal of nose polyp(s)
30115,Removal of nose polyp(s)
30117,Removal of intranasal lesion
30118,Removal of intranasal lesion
30120,Revision of nose
30124,Removal of nose lesion
30125,Removal of nose lesion
30130,Excise inferior turbinate
30140,Resect inferior turbinate
30150,Partial removal of nose
30160,Removal of nose
30200,Injection treatment of nose
30210,Nasal sinus therapy
30220,Insert nasal septal button
30300,Remove nasal foreign body
30310,Remove nasal foreign body
30320,Remove nasal foreign body
30400,Reconstruction of nose
30410,Reconstruction of nose
30420,Reconstruction of nose
30430,Revision of nose
30435,Revision of nose
30450,Revision of nose
30460,Revision of nose
30462,Revision of nose
30465,Repair nasal stenosis
30520,Repair of nasal septum
30540,Repair nasal defect
30545,Repair nasal defect
30560,Release of nasal adhesions
30580,Repair upper jaw fistula
30600,Repair mouth/nose fistula
30620,Intranasal reconstruction
30630,Repair nasal septum defect
30801,Ablate inf turbinate superf
30802,Ablate inf turbinate submuc
30901,Control of nosebleed
30903,Control of nosebleed
30905,Control of nosebleed
30906,Repeat control of nosebleed
30915,Ligation nasal sinus artery
30920,Ligation upper jaw artery
30930,Ther fx nasal inf turbinate
30999,Nasal surgery procedure
31000,Irrigation maxillary sinus
31002,Irrigation sphenoid sinus
31020,Exploration maxillary sinus
31030,Exploration maxillary sinus
31032,Explore sinus remove polyps
31040,Exploration behind upper jaw
31050,Exploration sphenoid sinus
31051,Sphenoid sinus surgery
31070,Exploration of frontal sinus
31075,Exploration of frontal sinus
31080,Removal of frontal sinus
31081,Removal of frontal sinus
31084,Removal of frontal sinus
31085,Removal of frontal sinus
31086,Removal of frontal sinus
31087,Removal of frontal sinus
31090,Exploration of sinuses
31200,Removal of ethmoid sinus
31201,Removal of ethmoid sinus
31205,Removal of ethmoid sinus
31225,Removal of upper jaw
31230,Removal of upper jaw
31231,Nasal endoscopy dx
31233,Nasal/sinus endoscopy dx
31235,Nasal/sinus endoscopy dx
31237,Nasal/sinus endoscopy surg
31238,Nasal/sinus endoscopy surg
31239,Nasal/sinus endoscopy surg
31240,Nasal/sinus endoscopy surg
31241,Nsl/sins ndsc w/artery lig
31253,Nsl/sins ndsc total
31254,Nsl/sins ndsc w/prtl ethmdct
31255,Nsl/sins ndsc w/tot ethmdct
31256,Exploration maxillary sinus
31257,Nsl/sins ndsc tot w/sphendt
31259,Nsl/sins ndsc sphn tiss rmvl
31267,Endoscopy maxillary sinus
31276,Nsl/sins ndsc frnt tiss rmvl
31287,Nasal/sinus endoscopy surg
31288,Nasal/sinus endoscopy surg
31290,Nasal/sinus endoscopy surg
31291,Nasal/sinus endoscopy surg
31292,Nasal/sinus endoscopy surg
31293,Nasal/sinus endoscopy surg
31294,Nasal/sinus endoscopy surg
31295,Sinus endo w/balloon dil
31296,Sinus endo w/balloon dil
31297,Sinus endo w/balloon dil
31298,Nsl/sins ndsc w/sins dilat
31299,Sinus surgery procedure
31300,Removal of larynx lesion
31360,Removal of larynx
31365,Removal of larynx
31367,Partial removal of larynx
31368,Partial removal of larynx
31370,Partial removal of larynx
31375,Partial removal of larynx
31380,Partial removal of larynx
31382,Partial removal of larynx
31390,Removal of larynx & pharynx
31395,Reconstruct larynx & pharynx
31400,Revision of larynx
31420,Removal of epiglottis
31500,Insert emergency airway
31502,Change of windpipe airway
31505,Diagnostic laryngoscopy
31510,Laryngoscopy with biopsy
31511,Remove foreign body larynx
31512,Removal of larynx lesion
31513,Injection into vocal cord
31515,Laryngoscopy for aspiration
31520,Dx laryngoscopy newborn
31525,Dx laryngoscopy excl nb
31526,Dx laryngoscopy w/oper scope
31527,Laryngoscopy for treatment
31528,Laryngoscopy and dilation
31529,Laryngoscopy and dilation
31530,Laryngoscopy w/fb removal
31531,Laryngoscopy w/fb & op scope
31535,Laryngoscopy w/biopsy
31536,Laryngoscopy w/bx & op scope
31540,Laryngoscopy w/exc of tumor
31541,Larynscop w/tumr exc + scope
31545,Remove vc lesion w/scope
31546,Remove vc lesion scope/graft
31551,Laryngoplasty laryngeal sten
31552,Laryngoplasty laryngeal sten
31553,Laryngoplasty laryngeal sten
31554,Laryngoplasty laryngeal sten
31560,Laryngoscop w/arytenoidectom
31561,Larynscop remve cart + scop
31570,Laryngoscope w/vc inj
31571,Laryngoscop w/vc inj + scope
31572,Largsc w/laser dstrj les
31573,Largsc w/ther injection
31574,Largsc w/njx augmentation
31575,Diagnostic laryngoscopy
31576,Laryngoscopy with biopsy
31577,Largsc w/rmvl foreign bdy(s)
31578,Largsc w/removal lesion
31579,Laryngoscopy telescopic
31580,Laryngoplasty laryngeal web
31584,Laryngoplasty fx rdctj fixj
31587,Laryngoplasty cricoid split
31590,Reinnervate larynx
31591,Laryngoplasty medialization
31592,Cricotracheal resection
31595,Larynx nerve surgery
31599,Larynx surgery procedure
31600,Incision of windpipe
31601,Incision of windpipe
31603,Incision of windpipe
31605,Incision of windpipe
31610,Incision of windpipe
31611,Surgery/speech prosthesis
31612,Puncture/clear windpipe
31613,Repair windpipe opening
31614,Repair windpipe opening
31615,Visualization of windpipe
31622,Dx bronchoscope/wash
31623,Dx bronchoscope/brush
31624,Dx bronchoscope/lavage
31625,Bronchoscopy w/biopsy(s)
31626,Bronchoscopy w/markers
31628,Bronchoscopy/lung bx each
31629,Bronchoscopy/needle bx each
31630,Bronchoscopy dilate/fx repr
31631,Bronchoscopy dilate w/stent
31634,Bronch w/balloon occlusion
31635,Bronchoscopy w/fb removal
31636,Bronchoscopy bronch stents
31638,Bronchoscopy revise stent
31640,Bronchoscopy w/tumor excise
31641,Bronchoscopy treat blockage
31643,Diag bronchoscope/catheter
31645,Brnchsc w/ther aspir 1st
31646,Brnchsc w/ther aspir sbsq
31647,Bronchial valve init insert
31648,Bronchial valve remov init
31660,Bronch thermoplsty 1 lobe
31661,Bronch thermoplsty 2/> lobes
31717,Bronchial brush biopsy
31720,Clearance of airways
31725,Clearance of airways
31730,Intro windpipe wire/tube
31750,Repair of windpipe
31755,Repair of windpipe
31760,Repair of windpipe
31766,Reconstruction of windpipe
31770,Repair/graft of bronchus
31775,Reconstruct bronchus
31780,Reconstruct windpipe
31781,Reconstruct windpipe
31785,Remove windpipe lesion
31786,Remove windpipe lesion
31800,Repair of windpipe injury
31805,Repair of windpipe injury
31820,Closure of windpipe lesion
31825,Repair of windpipe defect
31830,Revise windpipe scar
31899,Airways surgical procedure
32035,Thoracostomy w/rib resection
32036,Thoracostomy w/flap drainage
32096,Open wedge/bx lung infiltr
32097,Open wedge/bx lung nodule
32098,Open biopsy of lung pleura
32100,Exploration of chest
32110,Explore/repair chest
32120,Re-exploration of chest
32124,Explore chest free adhesions
